"created_at","field1","field2","field3","field4","OD"
"2022/10/24 21:01","14","82","21","6.58","2.91"
"2022/10/24 22:01","12","90","20","6.63","7.09"
"2022/10/25 10:01","16","92","15","6.51

","3.19"
"2022/10/25 11:01","16","92","17","6.68

","8.13"
"2022/10/25 21:01","16","92","17","5.47

","3.11"
"2022/10/25 22:01","13","91","16","615.

","9.18"
"2022/10/26 10:01","29","73","25",".711

","4.53"
"2022/10/26 11:01","28","72","25","15.6

","12.26"
"2022/10/26 21:57","11","89","20","6.67

","7.48"
"2022/10/26 22:57","11","89","20","06.7

","10.48"
"2022/10/27 9:57","10","88","15",".726

","4.08"
"2022/10/27 10:57","15","91","15","6.67

","8.25"
"2022/10/27 21:57","11","89","12",".906

","5.19"
"2022/10/27 22:57","11","89","12",".936

","9.36"
"2022/10/28 9:57","10","88","11","76.9

","5.56"
"2022/10/28 10:57","11","89","11","946.

","11.28"
"2022/10/28 21:57","10","88","11","6.93

","6.32"
"2022/10/28 22:57","9","88","11","6.92

","10.85"
"2022/10/29 9:57","10","86","10","886.

","8.21"
"2022/10/29 10:57","10","86","10",".836

","11.81"
"2022/10/29 21:58","8","88","9","6.82

","4.89"
"2022/10/29 22:58","6","88","9","6.76

","10.84"
"2022/10/30 9:58","9","88","9","6.70

","6.39"
"2022/10/30 10:58","21","94","15","76.6

","12.87"
"2022/10/30 21:58","8","78","14",".606

","4.21"
"2022/10/30 22:58","7","88","13",".586

","11.83"
"2022/10/31 9:58","8","88","10",".566

","5.92"
"2022/10/31 10:58","13","91","12",".606

","9.69"
"2022/10/31 20:59","10","68","16","536.

","2.72"
"2022/10/31 21:59","10","68","16","566.

","9.11"
"2022/11/01 10:59","29","85","17",".616

","3.12"
"2022/11/01 11:59","29","84","16",".446

","8.82"
"2022/11/01 21:59","12","90","17","16.5

","1.08"
"2022/11/01 22:59","11","89","17","506.

","7.24"
"2022/11/02 9:59","14","91","13","6.56

","0.13"
"2022/11/02 11:02","14","91","13","426.

","10.47"
"2022/11/02 22:05","14","80","20","56.4

","0"
"2022/11/02 23:05","14","80","20","436.

","10.15"
"2022/11/03 10:05","35","26","18","66.7

","1.64"
"2022/11/03 11:05","35","26","18","6.67

","13.06"
"2022/11/03 21:05","21","81","23","6.59

","3.27"
"2022/11/03 22:05","17","92","23","666.

","10.9"
"2022/11/04 9:06","13","91","16","36.6

","1.51"
"2022/11/04 10:06","14","91","16","06.6

","10.06"
"2022/11/04 22:06","14","91","17",".616

","0.12"
"2022/11/04 23:06","14","91","17",".626

","9.06"
"2022/11/05 11:06","15","91","17","746.

","1.82"
"2022/11/05 12:06","16","92","17",".726

","11.7"
"2022/11/05 22:03","15","91","16","976.

","3.58"
"2022/11/05 23:03","14","91","16","966.

","12.6"
"2022/11/06 10:42","19","93","16","6.82

","6.14"
"2022/11/06 11:42","20","93","16","6.89

","10.39"
"2022/11/06 21:56","14","91","17","766.

","1.54"
"2022/11/06 22:56","13","91","17","6.72

","8.14"
"2022/11/07 9:56","14","91","15","696.

","1.42"
"2022/11/07 10:56","29","37","15",".776

","7.26"
"2022/11/07 21:56","18","93","19","06.6

","0"
"2022/11/07 22:56","15","91","19","696.

","6.9"
"2022/11/08 9:56","30","49","22","6.67

","0"
"2022/11/08 10:56","30","49","22","6.71

","8.46"
"2022/11/08 21:30","15","91","20","6.96

","0.8"
"2022/11/08 22:30","15","91","20","26.9

","6.28"
"2022/11/09 10:30","17","92","16","966.

","0.49"
"2022/11/09 11:30","17","92","16",".967

","5.31"
"2022/11/09 22:30","15","91","16","67.0

","3.42"
"2022/11/09 23:30","14","91","16",".087

","8.81"
"2022/11/10 11:30","17","92","15","046.

","2.85"
"2022/11/10 12:30","20","93","15",".986

","15"
"11/10/2022 21:30","15","91","16","866.

","8.69"
"11/10/2022 22:30","14","91","16",".017

","14.28"
"11/11/2022 10:31","16","92","16","937.

","5.23"
"11/11/2022 11:31","16","92","16",".966

","10.62"
"11/11/2022 21:31","14","91","15",".966

","3.89"
"11/11/2022 22:31","13","91","15",".877

","8.35"
"11/12/2022 10:31","15","91","16",".726

","2.9"
"11/12/2022 11:31","17","92","16","6.76

","9.42"
"11/12/2022 21:31","13","91","14","6.78

","2.28"
"11/12/2022 22:31","13","91","14","56.6

","11.79"
"11/13/2022 10:31","28","73","22","6.80

","4.86"
"11/13/2022 11:31","20","93","22","56.8

","12.78"
"11/13/2022 21:32","14","91","16","06.8

","1.68"
"11/13/2022 22:32","13","91","16","776.

","12.11"
"11/14/2022 10:32","14","91","15","726.

","3.51"
"11/14/2022 11:32","16","92","15","6.72

","8.53"
"11/14/2022 20:32","18","93","20","6.88

","2.76"
"11/14/2022 21:32","16","92","20","6.86

","10.18"
"11/15/2022 10:32","16","92","15","16.8

","3.75"
"11/15/2022 11:32","22","95","16","836.

","9.31"
"11/15/2022 21:32","15","91","18",".716

","2.97"
"11/15/2022 22:32","14","91","18",".726

","13.61"
"11/16/2022 9:32","14","91","17",".776

","5.12"
"11/16/2022 10:32","24","95","20",".856

","12.75"
